(-43.040024, -22.336061)
(-43.040024, -22.336086)
(-43.04002, -22.33611)
(-43.040024, -22.336086)
(-43.040062, -22.335981)
(-43.04008, -22.335838)
(-43.040054, -22.335644)
(-43.04005, -22.33549)
(-43.040146, -22.335344)
(-43.040382, -22.33531)
(-43.040417, -22.335314)
(-43.040596, -22.335335)
(-43.04063, -22.335339)
(-43.040844, -22.335361)
(-43.041042, -22.335312)
(-43.041294, -22.33522)
(-43.041492, -22.335125)
(-43.041702, -22.33509)
(-43.042004, -22.335064)
(-43.04223, -22.33496)
(-43.042343, -22.334719)
(-43.04251, -22.33432)
(-43.042686, -22.33412)
(-43.0428, -22.333961)
(-43.04282, -22.333918)
(-43.04281, -22.333769)
(-43.04267, -22.333517)
(-43.04263, -22.333376)
(-43.04262, -22.33333)
(-43.042572, -22.33316)
(-43.042572, -22.333149)
(-43.04258, -22.332983)
(-43.042583, -22.33295)
(-43.042618, -22.332825)
(-43.042507, -22.332645)
(-43.04259, -22.332401)
(-43.04264, -22.332373)
(-43.042824, -22.332253)
(-43.042927, -22.33215)
(-43.042953, -22.33212)
(-43.043266, -22.331932)
(-43.043312, -22.33191)
(-43.043358, -22.331896)
(-43.043507, -22.331831)
(-43.04354, -22.331818)
(-43.043724, -22.331736)
(-43.04405, -22.331505)
(-43.044235, -22.331297)
(-43.044445, -22.331133)
(-43.044853, -22.330797)
(-43.045197, -22.330612)
(-43.045567, -22.330383)
(-43.045883, -22.330181)
(-43.04634, -22.329899)
(-43.046543, -22.329704)
(-43.046574, -22.32969)
(-43.046722, -22.329576)
(-43.04699, -22.329468)
(-43.0472, -22.329311)
(-43.04733, -22.329245)
(-43.0476, -22.32925)
(-43.04733, -22.329245)
(-43.0472, -22.329311)
(-43.04699, -22.329468)
(-43.046722, -22.329576)
(-43.046574, -22.32969)
(-43.046543, -22.329704)
(-43.04634, -22.329899)
(-43.045883, -22.330181)
(-43.045567, -22.330383)
(-43.045197, -22.330612)
(-43.044853, -22.330797)
(-43.044445, -22.331133)
(-43.044235, -22.331297)
(-43.04405, -22.331505)
(-43.043724, -22.331736)
(-43.04354, -22.331818)
(-43.043507, -22.331831)
(-43.043358, -22.331896)
(-43.043312, -22.33191)
(-43.043266, -22.331932)
(-43.042953, -22.33212)
(-43.042927, -22.33215)
(-43.042824, -22.332253)
(-43.04264, -22.332373)
(-43.04259, -22.332401)
(-43.042507, -22.332645)
(-43.042618, -22.332825)
(-43.042583, -22.33295)
(-43.04258, -22.332983)
(-43.042572, -22.333149)
(-43.042572, -22.33316)
(-43.04262, -22.33333)
(-43.04263, -22.333376)
(-43.04267, -22.333517)
(-43.04281, -22.333769)
(-43.04282, -22.333918)
(-43.0428, -22.333961)
(-43.042686, -22.33412)
(-43.04251, -22.33432)
(-43.042343, -22.334719)
(-43.04223, -22.33496)
(-43.042004, -22.335064)
(-43.041702, -22.33509)
(-43.041492, -22.335125)
(-43.041294, -22.33522)
(-43.041042, -22.335312)
(-43.040844, -22.335361)
(-43.04063, -22.335339)
(-43.040596, -22.335335)
(-43.040417, -22.335314)
(-43.040382, -22.33531)
(-43.040146, -22.335344)
(-43.04005, -22.33549)
(-43.040054, -22.335644)
(-43.04008, -22.335838)
(-43.040062, -22.335981)
(-43.040024, -22.336086)
(-43.04013, -22.33632)
(-43.04027, -22.336466)
(-43.040516, -22.336563)
(-43.040565, -22.336699)
(-43.040516, -22.336851)
(-43.0405, -22.336922)
(-43.040524, -22.337011)
(-43.040607, -22.337133)
(-43.0407, -22.337217)
(-43.040783, -22.337328)
(-43.04081, -22.337442)
(-43.040928, -22.337566)
(-43.041077, -22.337729)
(-43.041218, -22.337847)
(-43.04133, -22.337933)
(-43.04143, -22.337997)
(-43.041557, -22.338093)
(-43.041645, -22.338259)
(-43.041637, -22.338398)
(-43.04162, -22.338428)
(-43.041603, -22.338457)
(-43.04149, -22.338444)
(-43.041393, -22.338465)
(-43.041294, -22.338512)
(-43.041157, -22.338486)
(-43.041096, -22.338467)
(-43.04094, -22.338408)
(-43.040897, -22.338423)
(-43.040844, -22.338423)
(-43.04086, -22.338413)
(-43.040844, -22.338423)
(-43.04083, -22.338432)
(-43.040714, -22.338285)
(-43.04071, -22.33827)
(-43.04066, -22.338057)
(-43.040653, -22.338032)
(-43.04064, -22.338018)
(-43.04059, -22.337908)
(-43.040512, -22.337835)
(-43.04049, -22.337826)
(-43.040348, -22.337711)
(-43.040337, -22.337706)
(-43.04025, -22.337637)
(-43.04017, -22.337595)
(-43.040073, -22.337551)
(-43.03994, -22.337622)
(-43.039845, -22.337551)
(-43.039814, -22.337545)
(-43.039734, -22.33756)
(-43.039654, -22.337584)
(-43.03959, -22.33759)
(-43.039524, -22.337595)
(-43.039497, -22.337595)
